num_ligne;Rentrée scolaire;Code région;Région académique;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental
10485.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59017;ARMENTIERES;0592946G;COLLEGE PRIVE SAINT CHARLES;privé sous contrat;99.7;32.3;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10499.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59324;JEUMONT;0593132J;COLLEGE PRIVE SAINTE BERNADETTE;privé sous contrat;96.4;30.4;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10513.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59650;WATTRELOS;0593160P;COLLEGE PRIVE SAINT JOSEPH LA SALLE;privé sous contrat;108.5;33.2;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10556.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59155;COUDEKERQUE BRANCHE;0593494C;COLLEGE BORIS VIAN;public;90.3;27.9;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10582.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59400;MERVILLE;0594294X;COLLEGE HENRI DUNANT;public;80.2;23.6;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10586.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59172;DENAIN;0594299C;COLLEGE TURGOT;public;69.9;21.5;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10588.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59079;BEUVRAGES;0594301E;COLLEGE PAUL ELUARD;public;77.7;25.4;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10617.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59426;NEUVILLE EN FERRAIN;0594537L;COLLEGE JULES VERNE;public;105.9;34.7;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10630.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59647;WATTEN;0594650J;COLLEGE JACQUES PREVERT;public;95.1;30.4;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10693.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59183;DUNKERQUE;0596716E;COLLEGE ARTHUR VAN HECKE;public;85;32.4;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10701.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59574;SOMAIN;0597055Y;COLLEGE PRIVE NOTRE DAME DE LA RENAISSANCE;privé sous contrat;112.8;30.9;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10716.0;2024-2025;09;HAUTS-DE-FRANCE;20;AMIENS;60;OISE;60057;BEAUVAIS;0601140N;COLLEGE PRIVE SAINT ESPRIT;privé sous contrat;125.1;31.8;125.1;100.9;106.1;121.9;95.1;99.7;127.8;98.9;103.9
10754.0;2024-2025;09;HAUTS-DE-FRANCE;20;AMIENS;60;OISE;60636;THOUROTTE;0601446W;COLLEGE CLOTAIRE BAUJOIN;public;98.2;32.3;125.1;100.9;106.1;121.9;95.1;99.7;127.8;98.9;103.9
10777.0;2024-2025;09;HAUTS-DE-FRANCE;20;AMIENS;60;OISE;60575;SAINTE GENEVIEVE;0601938F;COLLEGE LEONARD DE VINCI;public;105.3;29.8;125.1;100.9;106.1;121.9;95.1;99.7;127.8;98.9;103.9
10815.0;2024-2025;14;NORMANDIE;70;NORMANDIE;61;ORNE;61063;BRIOUZE;0611024G;COLLEGE DU HOULME;public;93.9;25.4;125.1;100.9;106.1;119.6;99.3;103.3;110.9;95.1;99.1
10822.0;2024-2025;14;NORMANDIE;70;NORMANDIE;61;ORNE;61214;L AIGLE;0611156A;COLLEGE FRANCOISE DOLTO;public;90.6;27;125.1;100.9;106.1;119.6;99.3;103.3;110.9;95.1;99.1
10834.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62128;BIACHE SAINT VAAST;0620047P;COLLEGE GERMINAL;public;108.4;31.2;125.1;100.9;106.1;119.9;91.7;99.5;119.3;90.1;95.5
10866.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62041;ARRAS;0622082B;COLLEGE MARIE CURIE;public;98.6;37.7;125.1;100.9;106.1;119.9;91.7;99.5;119.3;90.1;95.5
10887.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62588;MONTREUIL SUR MER;0622117P;COLLEGE PRIVE SAINTE AUSTREBERTHE;privé sous contrat;128.4;29.5;125.1;100.9;106.1;119.9;91.7;99.5;119.3;90.1;95.5
10903.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62534;LUMBRES;0622142S;COLLEGE PRIVE NOTRE DAME;privé sous contrat;106.5;30.2;125.1;100.9;106.1;119.9;91.7;99.5;119.3;90.1;95.5
10921.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62491;LAVENTIE;0622427B;COLLEGE DU PAYS DE L ALLOEU;public;114.8;33.3;125.1;100.9;106.1;119.9;91.7;99.5;119.3;90.1;95.5
10952.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62249;COURCELLES LES LENS;0622943M;COLLEGE ADULPHE DELEGORGUE;public;82.9;26.2;125.1;100.9;106.1;119.9;91.7;99.5;119.3;90.1;95.5
10983.0;2024-2025;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;63;PUY-DE-DOME;63038;BESSE ET SAINT ANASTAISE;0630008S;COLLEGE DU PAVIN;public;111.6;30.5;125.1;100.9;106.1;116.7;101.8;105.2;122.7;103.7;107.6
10991.0;2024-2025;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;63;PUY-DE-DOME;63192;LA TOUR D AUVERGNE;0630036X;COLLEGE SANCY ARTENSE;public;101.2;26.5;125.1;100.9;106.1;116.7;101.8;105.2;122.7;103.7;107.6
11057.0;2024-2025;15;NOUVELLE-AQUITAINE;04;BORDEAUX;64;PYRENEES-ATLANTIQUES;64024;ANGLET;0640003F;COLLEGE ENDARRA;public;112.2;32;125.1;100.9;106.1;126.3;105.8;109.9;122.1;108;112.9
11111.0;2024-2025;15;NOUVELLE-AQUITAINE;04;BORDEAUX;64;PYRENEES-ATLANTIQUES;64445;PAU;0640608N;COLLEGE CLERMONT;public;85;32;125.1;100.9;106.1;126.3;105.8;109.9;122.1;108;112.9
11154.0;2024-2025;16;OCCITANIE;16;TOULOUSE;65;HAUTES-PYRENEES;65440;TARBES;0650034J;COLLEGE PAUL ELUARD;public;90.4;30.5;125.1;100.9;106.1;124.6;107.2;110.4;111.7;102.6;104.7
11174.0;2024-2025;16;OCCITANIE;11;MONTPELLIER;66;PYRENEES-ORIENTALES;66136;PERPIGNAN;0660012E;COLLEGE JOSEPH SEBASTIEN PONS;public;68.5;19;125.1;100.9;106.1;122.7;100;104.1;122.1;94.6;99.5
11259.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67474;SOULTZ SOUS FORETS;0671827X;COLLEGE DE L OUTRE FORET;public;101.4;30.3;125.1;100.9;106.1;129;98.6;103.3;134.3;101;105.1
11275.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67283;MARMOUTIER;0671985U;COLLEGE LEONARD DE VINCI;public;107.1;31.2;125.1;100.9;106.1;129;98.6;103.3;134.3;101;105.1
11276.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67437;SAVERNE;0671986V;COLLEGE LES SOURCES;public;92.3;35.9;125.1;100.9;106.1;129;98.6;103.3;134.3;101;105.1
11291.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67462;SELESTAT;0672134F;COLLEGE BEATUS RHENANUS;public;93.2;34.3;125.1;100.9;106.1;129;98.6;103.3;134.3;101;105.1
11294.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67375;PFULGRIESHEIM;0672193V;COLLEGE DE LA SOUFFEL;public;124.1;33.4;125.1;100.9;106.1;129;98.6;103.3;134.3;101;105.1
11307.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67267;LINGOLSHEIM;0672765S;COLLEGE GALILEE;public;93.7;32.3;125.1;100.9;106.1;129;98.6;103.3;134.3;101;105.1
11330.0;2024-2025;06;GRAND EST;15;STRASBOURG;68;HAUT-RHIN;68224;MULHOUSE;0680105V;COLLEGE KENNEDY;public;76;24.1;125.1;100.9;106.1;129;98.6;103.3;124;94.9;100.5
11332.0;2024-2025;06;GRAND EST;15;STRASBOURG;68;HAUT-RHIN;68224;MULHOUSE;0680111B;COLLEGE SAINT EXUPERY;public;74.5;22.3;125.1;100.9;106.1;129;98.6;103.3;124;94.9;100.5
11352.0;2024-2025;06;GRAND EST;15;STRASBOURG;68;HAUT-RHIN;68309;SIERENTZ;0681269K;COLLEGE FRANCOISE DOLTO;public;113.3;35;125.1;100.9;106.1;129;98.6;103.3;124;94.9;100.5
11370.0;2024-2025;06;GRAND EST;15;STRASBOURG;68;HAUT-RHIN;68224;MULHOUSE;0681661L;INSTITUTION SAINTE JEANNE D ARC;privé sous contrat;127.8;34.6;125.1;100.9;106.1;129;98.6;103.3;124;94.9;100.5
11408.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69259;VENISSIEUX;0690551Z;COLLEGE PRIVE LA XAVIERE;privé sous contrat;116.8;32.7;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11443.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69286;RILLIEUX LA PAPE;0691651V;COLLEGE PRIVE SAINT CHARLES;privé sous contrat;119.1;33.5;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11463.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69286;RILLIEUX LA PAPE;0692159X;COLLEGE PAUL EMILE VICTOR;public;74.9;21.7;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11488.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69276;FEYZIN;0692520P;COLLEGE FREDERIC MISTRAL;public;89;26.5;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11500.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69264;VILLEFRANCHE SUR SAONE;0692699J;COLLEGE CLAUDE BERNARD;public;96.6;36.2;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11508.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69387;LYON 7E ARRONDISSEMENT;0692922B;COLLEGE PRIVE CHEVREUL LESTONNAC;privé sous contrat;139.5;31;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11517.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69384;LYON 4E ARRONDISSEMENT;0692934P;COLLEGE PRIVE LES CHARTREUX ST CHARLES;privé sous contrat;149.7;25.4;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11525.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69264;VILLEFRANCHE SUR SAONE;0692944A;COLLEGE PRIVE NOTRE DAME DE MONGRE;privé sous contrat;135.1;32;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11532.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69112;LENTILLY;0693286X;COLLEGE JACQUES COEUR;public;131.6;34.3;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11549.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69266;VILLEURBANNE;0694296V;COLLEGE SIMONE LAGRANGE;public;71.2;22;125.1;100.9;106.1;127.9;102.1;109.6;134.5;102.4;112.9
11567.0;2024-2025;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;70;HAUTE-SAONE;70311;LUXEUIL LES BAINS;0700056F;COLLEGE PRIVE SAINT COLOMBAN;privé sous contrat;103.9;30.3;125.1;100.9;106.1;110.1;98.7;100.8;106.8;98.2;99.4
11575.0;2024-2025;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;70;HAUTE-SAONE;70467;SAINT LOUP SUR SEMOUSE;0700788B;COLLEGE ANDRE MASSON;public;85;27.5;125.1;100.9;106.1;110.1;98.7;100.8;106.8;98.2;99.4
11597.0;2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;71;SAONE-ET-LOIRE;71289;MATOUR;0710053X;COLLEGE SAINT CYR;public;101.1;27.9;125.1;100.9;106.1;122;101.2;104.3;119.5;99.8;102.3
11640.0;2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;71;SAONE-ET-LOIRE;71445;SAINT MARCEL;0711490J;COLLEGE VIVANT DENON;public;100.7;30.4;125.1;100.9;106.1;122;101.2;104.3;119.5;99.8;102.3
11648.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72068;LA CHARTRE SUR LE LOIR;0720011W;COLLEGE PIERRE DE RONSARD;public;96.3;32.4;125.1;100.9;106.1;117.5;102.8;109.1;115.9;97.7;102.1
11679.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72181;LE MANS;0720835S;COLLEGE PRIVE SAINT LOUIS;privé sous contrat;127.4;35.6;125.1;100.9;106.1;117.5;102.8;109.1;115.9;97.7;102.1
11682.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72231;PARIGNE L EVEQUE;0720847E;COLLEGE LOUIS CORDELET;public;107.6;32.5;125.1;100.9;106.1;117.5;102.8;109.1;115.9;97.7;102.1
11688.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72181;LE MANS;0720983C;COLLEGE PRIVE MAUPERTUIS ST BENOIT;privé sous contrat;85.9;28.8;125.1;100.9;106.1;117.5;102.8;109.1;115.9;97.7;102.1
11698.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72035;BESSE SUR BRAYE;0721089T;COLLEGE COURTANVAUX;public;89.9;27.4;125.1;100.9;106.1;117.5;102.8;109.1;115.9;97.7;102.1
11725.0;2024-2025;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73055;BOZEL;0730010P;COLLEGE LE BONRIEU;public;113.9;30.3;125.1;100.9;106.1;123.5;106.3;110;123.7;109.9;111.9
11730.0;2024-2025;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73179;LA MOTTE SERVOLEX;0730028J;COLLEGE DE BOIGNE;public;115.1;32.4;125.1;100.9;106.1;123.5;106.3;110;123.7;109.9;111.9
11746.0;2024-2025;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73065;CHAMBERY;0730901H;COLLEGE COTE ROUSSE;public;77.2;32.8;125.1;100.9;106.1;123.5;106.3;110;123.7;109.9;111.9
